,originalLocation,position,x,y,z
1225,L-04-12,"600, 1048, 1",600,1048,1
1226,L-04-13,"584, 1048, 1",584,1048,1
1232,L-05-11,"566, 990, 1",566,990,1
1233,L-05-12,"550, 990, 1",550,990,1
1234,L-05-13,"534, 990, 1",534,990,1
1240,L-06-11,"566, 1048, 1",566,1048,1
1241,L-06-12,"550, 1048, 1",550,1048,1
1242,L-06-13,"534, 1048, 1",534,1048,1
1248,L-07-11,"516, 990, 1",516,990,1
1249,L-07-12,"500, 990, 1",500,990,1
1250,L-07-13,"484, 990, 1",484,990,1
1256,L-08-11,"516, 1048, 1",516,1048,1
1257,L-08-12,"500, 1048, 1",500,1048,1
1258,L-08-13,"484, 1048, 1",484,1048,1
1264,L-09-11,"466, 990, 1",466,990,1
1265,L-09-12,"450, 990, 1",450,990,1
1266,L-09-13,"434, 990, 1",434,990,1
1272,L-10-11,"466, 1048, 1",466,1048,1
1273,L-10-12,"450, 1048, 1",450,1048,1
1274,L-10-13,"434, 1048, 1",434,1048,1
1280,L-13-11,"368, 900, 1",368,900,1
1281,L-13-12,"352, 900, 1",352,900,1
1282,L-13-13,"336, 900, 1",336,900,1
1288,L-14-11,"368, 958, 1",368,958,1
1289,L-14-12,"352, 958, 1",352,958,1
1290,L-14-13,"336, 958, 1",336,958,1
1296,L-15-11,"318, 900, 1",318,900,1
1297,L-15-12,"302, 900, 1",302,900,1
1298,L-15-13,"286, 900, 1",286,900,1
1304,L-16-11,"318, 958, 1",318,958,1
1305,L-16-12,"302, 958, 1",302,958,1
1306,L-16-13,"286, 958, 1",286,958,1
1312,L-17-11,"268, 900, 1",268,900,1
1313,L-17-12,"252, 900, 1",252,900,1
1314,L-17-13,"236, 900, 1",236,900,1
1320,L-18-11,"268, 958, 1",268,958,1
1321,L-18-12,"252, 958, 1",252,958,1
1322,L-18-13,"236, 958, 1",236,958,1
1328,L-19-11,"218, 900, 1",218,900,1
1329,L-19-12,"202, 900, 1",202,900,1
1330,L-19-13,"186, 900, 1",186,900,1
1336,L-20-11,"218, 958, 1",218,958,1
1337,L-20-12,"202, 958, 1",202,958,1
1338,L-20-13,"186, 958, 1",186,958,1
1344,L-21-11,"168, 900, 1",168,900,1
1345,L-21-12,"152, 900, 1",152,900,1
1346,L-21-13,"136, 900, 1",136,900,1
1352,L-22-11,"168, 958, 1",168,958,1
1353,L-22-12,"152, 958, 1",152,958,1
1354,L-22-13,"136, 958, 1",136,958,1
1360,L-23-11,"118, 900, 1",118,900,1
1361,L-23-12,"102, 900, 1",102,900,1
1362,L-23-13,"86, 900, 1",86,900,1
1368,L-24-11,"118, 958, 1",118,958,1
1369,L-24-12,"102, 958, 1",102,958,1
1370,L-24-13,"86, 958, 1",86,958,1
1376,M-01-11,"666, 1080, 1",666,1080,1
1377,M-01-12,"650, 1080, 1",650,1080,1
1378,M-01-13,"634, 1080, 1",634,1080,1
1384,M-02-11,"666, 1138, 1",666,1138,1
1385,M-02-12,"650, 1138, 1",650,1138,1
1386,M-02-13,"634, 1138, 1",634,1138,1
1392,M-03-11,"616, 1080, 1",616,1080,1
